#vs30_ref=800,,,,,,,,,,,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.075),SA(0.1),SA(0.2),SA(0.3),SA(0.4),SA(0.5),SA(0.75),SA(1.0),SA(1.5),SA(2.0),SA(3.0),sigma_PGA,sigma_SA(0.075),sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.4),sigma_SA(0.5),sigma_SA(0.75),sigma_SA(1.0),sigma_SA(1.5),sigma_SA(2.0),sigma_SA(3.0)
TST,0.001,4.858442342461819,6.488794529677776,8.736125576069629,15.893810159360092,12.319053095573883,10.160003885336744,5.982684292498497,2.7386607522178714,2.212310735925323,2.1587902758297246,1.272383349871708,1.5331954344021457,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00125892541,4.675966278718039,6.068988030185923,8.031559374836284,14.37739551100327,11.304985410100079,9.472575579050009,5.765321431270146,2.761430501621268,2.274106188267494,2.243539244120882,1.3482521289230465,1.5762190216762495,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00158489319,4.50034375089707,5.676341811749046,7.383816246604099,13.005660662260324,10.374392745058579,8.831658833801592,5.555855795467704,2.784389563206994,2.3376277447554235,2.331615255709842,1.4286447586115036,1.6204499106470787,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00199526231,4.331317351697754,5.3090986851728,6.788313431456028,11.764801851076777,9.520403694204028,8.234106671936997,5.354000465026841,2.80753951074217,2.402923619272135,2.4231489215838953,1.5138309831727985,1.6659219794645381,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00251188643,4.1686393375087105,4.965615137449503,6.240837753418945,10.642332290457968,8.736712464273788,7.6769850265307396,5.15947893929643,2.830881931657938,2.4700433740843173,2.518275982527563,1.6040966331411073,1.7126700580937722,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00316227766,4.012071275102879,4.644353997739721,5.737515846440217,9.626956584596476,8.017532362421969,7.157558369081819,4.9720247700147,2.854418425791734,2.5390379535769654,2.6171375049483263,1.699744579274862,1.7607299522878843,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00398107171,3.861383682198632,4.343877536886784,5.274786716347463,8.708456992974485,7.357553018976266,6.673276243211588,4.7913811844184435,2.8781506069069045,2.6099597269533312,2.7198800957672513,1.801095754170712,1.8101384738213324,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00501187234,3.716355698246298,4.062841048112,4.849376570523097,7.877590657374205,6.751901209919359,6.2217607657404015,4.61730074205973,2.902080101756071,2.6828625249403366,2.82665611548601,1.9084902249305984,1.8609334665654713,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00630957344,3.5767747561960115,3.7999868199454654,4.4582756416547396,7.125996562383664,6.196104853080508,5.800794936183999,4.449544990454418,2.926208550885494,2.757801682695276,2.937623907076998,2.0222883370797295,1.913153836901522,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.00794328235,3.4424362708447025,3.55413850795608,4.098716894625882,6.446111401052334,5.686059988043259,5.408311751585412,4.287884138327007,2.9505376088339372,2.834834082161435,3.052948031394116,2.1428719243899987,1.9668395837684851,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.01,3.3131433454583896,3.3241958821471287,3.7681564671009022,5.831093497919246,5.218000497377934,5.042384076160742,4.132096748647348,2.9750689430708945,2.914018191522286,3.1727995056382134,2.2706455842439093,2.0220318267072432,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0125892541,3.188706475843959,3.1091298894536106,3.464255651509309,5.274753922479206,4.788470269191942,4.701215156912096,3.9819694264878738,2.999804235398246,2.9954141136024264,3.297356062941671,2.4060380413617013,2.0787728401588503,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0158489319,3.0689432743179763,2.9079780520054124,3.184864354255728,4.77149422092403,4.394297685360201,4.383129807058093,3.837296528782428,3.02474518181902,3.079083630797177,3.4268024149828085,2.549503585473275,2.1371060853641133,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
TST,0.0199526231,2.953678205754819,2.7198401654491207,2.9280058917098466,4.31625009297859,4.032572213642295,4.086566189596285,3.697879886714641,3.049893491951938,3.16509024961579,3.5613305222686478,2.7015235915964437,2.1970762420134378,1.720939389705616,1.287402659676524,0.9185079444081421,0.7658372880962637,0.8675532504626225,1.143559459993034,1.6983060023893888,2.971882055891542,1.2024790023729877,1.058637711737369,0.7635460881602166,1.7815919762991972
